lat,lon,name,admin1,admin2,cc
42.53176,1.56654,Vila,,,AD
42.57952,1.65362,El Tarter,,,AD
42.46372,1.49129,Sant Julià de Lòria,,,AD
42.49454,1.49897,Santa Coloma,,,AD
42.54277,1.73361,Pas de la Casa,,,AD
42.55623,1.53319,Ordino,,,AD
42.50729,1.53414,les Escaldes,,,AD
42.53873,1.58649,Les Bons,,,AD
42.54499,1.51483,la Massana,,,AD
42.53474,1.58014,Encamp,,,AD
42.5676,1.59756,Canillo,,,AD
42.57205,1.48453,Arinsal,,,AD
42.53465,1.5251,Anyós,,,AD
42.50779,1.52109,Andorra la Vella,,,AD
42.46245,1.50209,Aixirivall,,,AD
25.16744,55.40708,Warīsān,,,AE
25.15491,55.21015,Umm Suqaym,,,AE
25.56473,55.55517,Umm Al Quwain City,,,AE
25.0695,56.33115,Ţarīf Kalbā,,,AE
25.22499,55.38947,Ar Rāshidīyah,,,AE
25.78953,55.9432,Ras Al Khaimah,,,AE
23.14355,53.7881,Muzayri‘,,,AE
25.27623,56.36256,Murbaḩ,,,AE
24.81089,56.10657,Maşfūţ,,,AE
23.65416,53.70522,Zayed City,,,AE
25.33132,56.34199,Khawr Fakkān,,,AE
25.0513,56.35422,Kalbā,,,AE
25.20795,55.24969,Jumayrā,,,AE
25.7091,55.80772,Al Jazīrah al Ḩamrā’,,,AE
25.07725,55.30927,Dubai,,,AE
25.59246,56.26176,Dibba Al-Fujairah,,,AE
25.61955,56.27291,Dibba Al-Hisn,,,AE
25.27143,55.30207,Dayrah,,,AE
25.3342,55.41221,Sharjah,,,AE
26.0279,56.08352,Ash Sha‘m,,,AE
24.11028,52.73056,Ar Ruways,,,AE
25.87658,56.01862,Ar Rams,,,AE
25.3299,56.02188,Al Manāmah,,,AE
25.47819,55.53377,Al Ḩamrīyah,,,AE
24.80073,56.12726,Ḩattā,,,AE
25.11641,56.34141,Fujairah,,,AE
24.19167,55.76056,Al Ain City,,,AE
25.40177,55.47878,Ajman,,,AE
25.28812,55.88157,Adh Dhayd,,,AE
24.45118,54.39696,Abu Dhabi,,,AE
25.28413,55.33153,Abū Hayl,,,AE
25.22192,55.27459,As Saţwah,,,AE
24.89952,55.62545,Margham,,,AE
25.86698,55.02363,Abū Mūsá,,,AE
25.20131,55.38388,Nadd al Ḩumr,,,AE
24.93138,55.47531,Al Lusaylī,,,AE
24.46235,55.33715,Suwayḩān,,,AE
25.40001,55.52925,Al Ḩamīdīyah,,,AE
25.29173,55.33822,Al Waheda,,,AE
25.27148,55.36165,Al Twar First,,,AE
25.26309,55.38028,AL Twar Second,,,AE
25.27148,55.38603,Al Qusais Second,,,AE
25.24004,55.30106,Al Karama,,,AE
25.24151,55.27805,Al Hudaiba,,,AE
25.19881,55.25565,Al Wasl,,,AE
25.10223,55.16433,Knowledge Village,,,AE
25.11607,55.13506,The Palm Jumeirah,,,AE
25.22536,55.305,Za'abeel,,,AE
25.23685,55.31419,Oud Metha,,,AE
25.26038,55.29891,Bur Dubai,,,AE
24.42588,54.605,Khalifah A City,,,AE
24.36727,54.63721,Shakhbout City,,,AE
25.22443,55.41412,Mirdif,,,AE
25.27744,55.33675,Hawr al ‘Anz,,,AE
25.24612,55.29222,Mankhūl,,,AE
25.261,55.33016,Būr Sa‘īd,,,AE
25.27139,55.30323,Nāyf,,,AE
25.27576,55.30738,Al Murar al Qadīm,,,AE
25.26797,55.31272,Ar Riqqah,,,AE
25.19272,55.42013,Al Warqaa,,,AE
25.16383,55.40987,International City,,,AE
25.08525,55.14646,Dubai Marina,,,AE
25.03878,55.21725,Dubai Sports City,,,AE
25.09538,55.16171,Dubai Internet City,,,AE
25.12015,55.18285,Al Sufouh,,,AE
25.17047,55.23336,Al Safa,,,AE
25.40338,55.4334,Ar Rumaylah,,,AE
25.40977,55.47106,Mushayrif,,,AE
25.41814,55.50791,Al Jurf,,,AE
25.32354,55.38774,Al Majaz,,,AE
25.23796,55.28678,As Saţwah Sharq,,,AE
25.22177,55.35733,Dubai Festival City,,,AE
25.2106,55.27787,Dubai International Financial Centre,,,AE
25.19408,55.2781,Downtown Dubai,,,AE
25.00827,55.15682,Dubai Investments Park,,,AE
25.00255,55.10811,Jebel Ali,,,AE
24.30978,54.62944,Bani Yas City,,,AE
24.35893,54.48267,Musaffah,,,AE
24.39268,54.70779,Al Shamkhah City,,,AE
25.14479,56.24764,Reef Al Fujairah City,,,AE
23.75355,55.32739,Al Wiqan,,,AE
24.71242,55.67048,Al Faqaa,,,AE
24.58242,55.7467,Sha'biyyat Al Hiyar,,,AE
25.13518,55.8843,Sha'biyyat Milе̄hah,,,AE
25.13227,55.20567,Umm Al Sheif,,,AE
25.22462,55.26888,Al Bada'a,,,AE
25.27375,55.32265,Al Muteena,,,AE
25.24805,55.44128,Al Mizhar First,,,AE
25.24332,55.4619,Al Mizhar Second,,,AE
25.11985,55.38718,Dubai Silicon Oasis,,,AE
25.04593,55.24102,Dubai Motor City,,,AE
25.02924,55.25277,DAMAC Hills,,,AE
25.02651,55.14565,Al Furjan,,,AE
25.18544,55.26969,Business Bay,,,AE
25.27925,55.36995,Al Qusais 1,,,AE
25.25159,55.39408,Al Twar 3,,,AE
25.26628,55.33379,Al Khabaisi,,,AE
25.24882,55.48545,Al Khawaneej 1,,,AE
25.34586,55.42165,Halwan,,,AE
25.31532,55.63211,Al Sajaah,,,AE
25.03763,55.59135,Lahbab,,,AE
24.97355,55.77781,Al Madam,,,AE
25.55073,55.68619,Al Raafah,,,AE
24.34794,54.55368,Mohammed Bin Zayed City,,,AE
24.43208,54.61582,Masdar City,,,AE
33.54149,69.73446,Zōr Kōṯ,,,AF
34.3436,67.90567,Wulêswālī Bihsūd,,,AF
34.65389,61.19778,Kuhsān,,,AF
35.3782,64.77457,Lāsh,,,AF
35.94831,66.42132,Tukzār,,,AF
34.24348,70.72855,Bati,,,AF
33.32462,68.44068,Mīray,,,AF
36.08352,66.84029,Āq Kupruk,,,AF
33.43778,69.02774,Zurmat,,,AF
36.52947,71.3441,Zaybāk,,,AF
31.9848,65.4736,Zīārat-e Shāh Maqşūd,,,AF
34.34264,61.74675,Zindah Jān,,,AF
32.84734,68.44573,Zarghūn Shahr,,,AF
33.14641,68.79213,Zaṟah Sharan,,,AF
30.95962,61.86037,Zaranj,,,AF
32.3726,66.17708,Zamtō Kêlay,,,AF
37.46572,69.61131,Yangī Qal‘ah,,,AF
34.73525,66.97379,Bāzār-e Yakāwlang,,,AF
32.93742,68.64622,Yaḩyá Khēl,,,AF
32.25122,63.85553,Wāshēr,,,AF
